,Gate Voltage,Gate Current,,Gate Time (ms),Drain Voltage,Drain Current
"1,1",4.40E-05,5.10E-06,0.000000,0.000000,-6.00E-01,-2.94E-03
"1,2",2.78E-04,6.80E-06,0.000020,0.020000,-6.00E-01,-2.94E-03
"1,3",-3.90E-04,3.80E-06,0.000040,0.040000,-6.00E-01,-2.94E-03
"1,4",3.00E-04,6.40E-06,0.000060,0.060000,-6.00E-01,-2.94E-03
"1,5",-2.24E-04,3.80E-06,0.000080,0.080000,-6.00E-01,-2.94E-03
"1,6",2.87E-04,5.90E-06,0.000100,0.100000,-6.00E-01,-2.94E-03
"1,7",-6.10E-05,3.70E-06,0.000120,0.120000,-6.00E-01,-2.94E-03
"1,8",1.74E-04,6.20E-06,0.000140,0.140000,-6.00E-01,-2.94E-03
"1,9",-3.73E-04,2.10E-06,0.000160,0.160000,-6.00E-01,-2.94E-03
"1,10",5.97E-04,4.80E-06,0.000180,0.180000,-6.00E-01,-2.94E-03
"1,11",-3.53E-04,3.00E-06,0.000200,0.200000,-6.00E-01,-2.94E-03
"1,12",8.46E-04,6.90E-06,0.000220,0.220000,-6.00E-01,-2.94E-03
"1,13",-3.38E-04,4.50E-06,0.000240,0.240000,-6.00E-01,-2.94E-03
"1,14",-1.20E-05,5.80E-06,0.000260,0.260000,-6.00E-01,-2.94E-03
"1,15",3.53E-04,4.30E-06,0.000280,0.280000,-6.00E-01,-2.94E-03
"1,16",-1.00E-06,6.40E-06,0.000300,0.300000,-6.00E-01,-2.94E-03
"1,17",1.27E-04,5.60E-06,0.000320,0.320000,-6.00E-01,-2.94E-03
"1,18",3.13E-04,5.70E-06,0.000340,0.340000,-6.00E-01,-2.94E-03
"1,19",-4.40E-04,4.20E-06,0.000360,0.360000,-6.00E-01,-2.94E-03
"1,20",1.98E-04,4.30E-06,0.000380,0.380000,-6.00E-01,-2.94E-03
"1,21",4.22E-04,4.60E-06,0.000400,0.400000,-6.00E-01,-2.94E-03
"1,22",2.17E-04,5.70E-06,0.000420,0.420000,-6.00E-01,-2.94E-03
"1,23",1.88E-04,4.90E-06,0.000440,0.440000,-6.00E-01,-2.94E-03
"1,24",7.70E-05,5.70E-06,0.000460,0.460000,-6.00E-01,-2.94E-03
"1,25",2.50E-04,5.50E-06,0.000480,0.480000,-6.00E-01,-2.94E-03
"1,26",-1.15E-04,4.10E-06,0.000500,0.500000,-6.00E-01,-2.94E-03
"1,27",-9.65E-04,1.90E-06,0.000520,0.520000,-6.00E-01,-2.94E-03
"1,28",4.09E-04,5.90E-06,0.000540,0.540000,-6.00E-01,-2.94E-03
"1,29",1.27E-04,4.50E-06,0.000560,0.560000,-6.00E-01,-2.94E-03
"1,30",4.50E-05,3.90E-06,0.000580,0.580000,-6.00E-01,-2.94E-03
"1,31",6.00E-06,5.30E-06,0.000600,0.600000,-6.00E-01,-2.94E-03
"1,32",4.53E-04,7.20E-06,0.000620,0.620000,-6.00E-01,-2.94E-03
"1,33",-4.99E-04,3.40E-06,0.000640,0.640000,-6.00E-01,-2.94E-03
"1,34",7.90E-05,5.90E-06,0.000660,0.660000,-6.00E-01,-2.94E-03
"1,35",-2.59E-04,2.50E-06,0.000680,0.680000,-6.00E-01,-2.94E-03
"1,36",-5.38E-04,3.30E-06,0.000700,0.700000,-6.00E-01,-2.94E-03
"1,37",6.20E-05,4.40E-06,0.000720,0.720000,-6.00E-01,-2.94E-03
"1,38",5.30E-05,5.00E-06,0.000740,0.740000,-6.00E-01,-2.94E-03
"1,39",6.58E-04,5.90E-06,0.000760,0.760000,-6.00E-01,-2.94E-03
"1,40",2.44E-04,4.70E-06,0.000780,0.780000,-6.00E-01,-2.94E-03
"1,41",-9.40E-05,4.00E-06,0.000800,0.800000,-6.00E-01,-2.94E-03
"1,42",3.20E-05,7.30E-06,0.000820,0.820000,-6.00E-01,-2.94E-03
"1,43",-7.73E-04,2.30E-06,0.000840,0.840000,-6.00E-01,-2.93E-03
"1,44",7.35E-04,6.70E-06,0.000860,0.860000,-6.00E-01,-2.94E-03
"1,45",-7.90E-05,4.50E-06,0.000880,0.880000,-6.00E-01,-2.94E-03
"1,46",4.15E-04,7.00E-06,0.000900,0.900000,-6.00E-01,-2.94E-03
"1,47",1.00E-06,4.60E-06,0.000920,0.920000,-6.00E-01,-2.94E-03
"1,48",9.50E-05,7.60E-06,0.000940,0.940000,-6.00E-01,-2.94E-03
"1,49",3.40E-04,4.40E-06,0.000960,0.960000,-6.00E-01,-2.94E-03
"1,50",3.10E-05,5.30E-06,0.000980,0.980000,-6.00E-01,-2.94E-03
"1,51",4.57E-04,6.30E-06,0.001000,1.000000,-6.00E-01,-2.94E-03
"1,52",-1.74E-04,5.70E-06,0.001020,1.020000,-6.00E-01,-2.94E-03
"1,53",-3.85E-04,2.80E-06,0.001040,1.040000,-6.00E-01,-2.94E-03
"1,54",6.34E-04,6.50E-06,0.001060,1.060000,-6.00E-01,-2.94E-03
"1,55",-2.44E-04,3.10E-06,0.001080,1.080000,-6.00E-01,-2.94E-03
"1,56",1.04E-04,5.20E-06,0.001100,1.100000,-6.00E-01,-2.94E-03
"1,57",1.71E-04,5.40E-06,0.001120,1.120000,-6.00E-01,-2.94E-03
"1,58",7.00E-06,6.50E-06,0.001140,1.140000,-6.00E-01,-2.94E-03
"1,59",-5.34E-04,2.30E-06,0.001160,1.160000,-6.00E-01,-2.94E-03
"1,60",7.29E-04,5.60E-06,0.001180,1.180000,-6.00E-01,-2.94E-03
"1,61",1.62E-04,3.50E-06,0.001200,1.200000,-6.00E-01,-2.94E-03
"1,62",2.38E-04,6.30E-06,0.001220,1.220000,-6.00E-01,-2.94E-03
"1,63",-3.90E-05,5.50E-06,0.001240,1.240000,-6.00E-01,-2.94E-03
"1,64",-3.08E-04,3.80E-06,0.001260,1.260000,-6.00E-01,-2.94E-03
"1,65",-2.40E-05,5.40E-06,0.001280,1.280000,-6.00E-01,-2.94E-03
"1,66",4.73E-04,6.00E-06,0.001300,1.300000,-6.00E-01,-2.94E-03
"1,67",2.93E-04,6.40E-06,0.001320,1.320000,-6.00E-01,-2.94E-03
"1,68",-3.60E-05,4.40E-06,0.001340,1.340000,-6.00E-01,-2.94E-03
"1,69",2.33E-04,5.60E-06,0.001360,1.360000,-6.00E-01,-2.94E-03
"1,70",-6.90E-05,5.80E-06,0.001380,1.380000,-6.00E-01,-2.94E-03
"1,71",1.43E-04,4.60E-06,0.001400,1.400000,-6.00E-01,-2.94E-03
"1,72",1.59E-04,5.60E-06,0.001420,1.420000,-6.00E-01,-2.94E-03
"1,73",5.70E-05,4.40E-06,0.001440,1.440000,-6.00E-01,-2.93E-03
"1,74",-6.30E-05,5.40E-06,0.001460,1.460000,-6.00E-01,-2.94E-03
